RK,PlayerName,Age,Events,Rounds,CutsMade,Top10s,Wins,CupPoints,Earnings
149,Beau Hossler,25,0,83,16,0,0,304,645795
150,Scott Langley,31,27,74,12,1,0,277,635883
151,Harris English,30,0,91,21,0,0,289,628922
152,Stephan Jaeger,30,0,71,13,0,0,278,623145
153,Roberto Diaz,33,23,65,14,2,0,271,620178
154,Zach Johnson,44,19,64,13,1,0,276,603160
155,Johnson Wagner,40,19,58,13,1,0,312,597792
156,Tyler Duncan,30,29,83,17,1,0,238,596502
157,Lucas Bjerregaard,28,14,42,9,1,0,0,592694
158,Jimmy Walker,42,0,74,15,0,0,258,590437
159,Tom Hoge,30,32,90,17,1,0,252,573464
160,Chase Wright,30,26,69,11,2,0,265,571575
161,Jonathan Byrd,42,17,49,11,1,0,283,550547
162,Hudson Swafford,32,20,57,10,1,0,242,545191
163,Trey Mullinax,27,0,73,14,0,0,260,536694
164,Brendan Steele,36,0,62,12,0,0,204,515139
165,D.J. Trahan,39,14,37,8,3,0,231,507919
166,Brandon Harkins,33,28,83,17,1,0,225,494795
167,Kramer Hickok,27,26,77,13,1,0,250,494424
168,Jim Knous,--,18,53,10,1,0,223,490976
169,Cameron Davis,25,0,72,13,0,0,252,477467
170,Alex Prugh,35,0,71,13,0,0,217,467732
171,Joey Garber,28,22,57,10,2,0,209,454296
172,Anders Albertson,26,25,64,10,1,0,199,449226
173,Fabian Gomez,41,0,62,11,0,0,209,433027
174,Curtis Luck,23,23,59,10,1,0,190,432569
175,Satoshi Kodaira,30,0,64,12,0,0,141,421457
176,Anirban Lahiri,32,23,69,14,1,0,164,419620
177,Sam Saunders,32,26,74,14,1,0,197,413887
178,Ollie Schniederjans,26,0,75,11,0,0,153,411682
179,Adam Svensson,26,0,67,11,0,0,223,405730
180,David Hearn,40,18,47,9,1,0,195,397677
181,Jose de Jesus Rodriguez,29,0,65,10,0,0,187,394402
182,Stewart Cink,46,0,47,8,0,0,160,368008
183,Julian Etulain,31,0,65,12,0,0,189,360653
184,Seth Reeves,--,25,67,11,1,0,124,309588
185,Benjamin Silverman,--,0,68,11,0,0,143,298497
186,John Chin,32,21,54,7,1,0,140,294536
187,Whee Kim,28,27,69,9,1,0,118,292773
188,Hunter Mahan,37,0,59,8,0,0,141,287579
189,Luke Donald,42,12,34,6,1,0,115,285630
190,Kyle Jones,26,0,66,10,0,0,133,277762
191,Davis Love III,55,9,27,0,1,0,106,271216
192,Chris Kirk,34,0,45,6,0,0,95,261401
193,Kevin Chappell,33,3,12,3,1,0,107,257024
194,Brendon Todd,34,0,33,7,0,0,142,252546
195,Cody Gribble,29,0,66,11,0,0,111,248317
196,Billy Hurley III,37,13,34,8,1,0,122,239396
197,Charl Schwartzel,35,13,32,4,1,0,113,232725
198,Nicholas Lindheim,35,0,37,5,0,0,97,227124
199,Brady Schnell,--,0,51,6,0,0,103,210914
200,Sean O'Hair,37,9,23,4,1,0,88,201352
