,PlayerName,Events,Rounds,CutsMade,Top10s,Wins,CupPoints,Earnings,YardsPerDrive,DrivingAcc,DriveTotal,GreensInReg,PuttAvg,SavePct,Age,Eagles,Birdies,Pars,Bogeys,BirdiesPerRound,HolesPerEagle,PlayerID
56,Ryan Moore,22,74,15,2,0,944,1838788,282.2,75.5,176,68.2,1.736,45.5,37,10.0,289.0,832.0,184.0,3.905,133.0,59
57,Sergio Garcia,15,44,11,5,0,637,1793027,302.5,58.8,36,63.3,1.758,50.0,40,3.0,156.0,495.0,124.0,3.545,264.0,60
58,Emiliano Grillo,23,78,20,2,0,765,1752114,295.7,68.1,86,68.7,1.79,47.9,27,13.0,293.0,859.0,213.0,3.7560000000000002,108.0,62
59,Vaughn Taylor,27,91,20,4,0,937,1723910,282.9,69.0,173,66.8,1.7180000000000002,56.7,44,6.0,368.0,1043.0,191.0,4.044,273.0,63
60,Cameron Champ,26,76,14,3,1,819,1695748,317.9,55.3,1,69.3,1.787,37.0,24,9.0,313.0,798.0,206.0,4.118,152.0,64
61,Graeme McDowell,20,71,18,3,1,750,1671523,285.9,62.7,165,64.8,1.758,56.6,40,7.0,251.0,827.0,174.0,3.535,183.0,65
62,Adam Long,27,76,11,2,1,734,1648007,292.0,66.5,112,65.3,1.791,49.6,32,13.0,245.0,875.0,205.0,3.2239999999999998,105.0,66
63,Kiradech Aphibarnrat,20,62,13,3,0,568,1630073,292.4,63.2,107,61.6,1.7619999999999998,52.7,30,4.0,218.0,718.0,151.0,3.516,279.0,67
64,Kevin Streelman,26,81,16,4,0,609,1588881,291.8,68.0,114,69.8,1.768,50.4,41,4.0,305.0,937.0,191.0,3.765,365.0,68
65,Dylan Frittelli,24,81,17,1,1,802,1576974,296.5,62.7,75,68.2,1.778,49.2,29,13.0,293.0,941.0,199.0,3.617,112.0,69
66,Jhonattan Vegas,23,72,15,3,0,602,1566910,308.3,58.9,12,69.3,1.774,43.4,35,15.0,286.0,792.0,174.0,3.972,86.0,70
67,Bubba Watson,19,58,14,3,0,572,1558014,311.6,58.1,6,66.8,1.811,49.5,41,9.0,215.0,636.0,165.0,3.707,116.0,71
68,Matthew Fitzpatrick,14,51,13,2,0,0,1553750,287.9,66.1,151,63.9,1.751,47.7,25,7.0,181.0,568.0,141.0,3.549,131.0,72
69,Harold Varner III,26,82,16,3,0,"1,122",1553149,302.0,60.0,38,67.2,1.767,58.5,29,7.0,313.0,936.0,197.0,3.8169999999999997,211.0,73
70,Troy Merritt,21,61,14,4,0,842,1531143,293.3,66.4,103,68.9,1.729,48.8,34,7.0,259.0,672.0,142.0,4.246,157.0,74
71,Danny Lee,27,81,15,3,0,633,1524126,301.4,57.1,42,66.7,1.758,53.2,29,9.0,317.0,882.0,214.0,3.9139999999999997,162.0,75
72,Tyrrell Hatton,17,58,14,3,0,574,1517396,296.6,63.0,72,66.3,1.767,53.8,28,2.0,217.0,646.0,155.0,3.741,522.0,76
73,Cameron Smith,23,74,17,3,0,566,1504820,294.2,59.4,92,63.7,1.756,58.7,26,5.0,274.0,839.0,187.0,3.7030000000000003,266.0,77
74,Charley Hoffman,24,70,13,2,0,576,1468855,295.6,58.3,87,66.5,1.7590000000000001,39.3,43,8.0,244.0,787.0,191.0,3.486,158.0,78
75,Joaquin Niemann,28,96,21,4,0,751,1434519,301.5,61.7,41,68.1,1.7619999999999998,54.1,21,13.0,355.0,1107.0,234.0,3.698,133.0,79
76,Chesson Hadley,26,74,11,3,0,573,1405632,297.6,59.7,63,64.6,1.774,51.7,32,7.0,256.0,854.0,179.0,3.4589999999999996,190.0,81
77,Henrik Stenson,15,50,14,3,0,523,1397370,282.7,72.1,174,66.1,1.78,49.3,43,1.0,173.0,594.0,122.0,3.46,900.0,82
78,Luke List,22,63,11,4,0,506,1391408,313.3,53.1,3,65.4,1.786,46.5,35,9.0,235.0,680.0,186.0,3.73,126.0,83
79,Branden Grace,22,68,16,2,0,588,1373185,295.1,57.2,90,66.1,1.794,50.0,31,10.0,231.0,759.0,204.0,3.397,122.0,85
80,Brian Harman,29,89,16,4,0,534,1342778,288.4,68.2,147,64.2,1.767,58.5,33,6.0,313.0,1029.0,227.0,3.517,267.0,86
81,Brian Stuard,29,94,20,3,0,572,1320637,276.6,71.1,184,64.9,1.749,52.9,37,4.0,347.0,1090.0,232.0,3.6910000000000003,423.0,87
82,Michael Thompson,22,71,14,4,0,527,1307816,288.4,69.1,148,65.7,1.749,54.9,34,7.0,271.0,808.0,172.0,3.8169999999999997,183.0,88
83,Danny Willett,19,63,12,2,0,565,1286737,293.8,59.6,98,66.2,1.775,53.6,32,2.0,229.0,714.0,166.0,3.635,567.0,89
84,Wyndham Clark,27,85,19,3,0,771,1278721,311.8,56.4,5,65.9,1.71,55.9,26,7.0,358.0,946.0,188.0,4.212,219.0,90
85,Adam Schenk,31,100,20,3,0,657,1257158,300.8,61.3,47,68.6,1.7519999999999998,50.0,28,11.0,397.0,1132.0,228.0,3.97,164.0,91
86,J.J. Spaun,26,82,19,2,0,479,1205977,290.4,63.6,124,68.4,1.774,47.1,29,4.0,313.0,939.0,202.0,3.8169999999999997,369.0,92
87,Russell Henley,25,70,13,1,0,553,1133773,287.7,69.3,152,68.1,1.781,43.3,30,6.0,255.0,813.0,168.0,3.6430000000000002,210.0,93
88,Russell Knox,22,72,18,2,0,452,1132825,289.2,65.9,139,69.1,1.7790000000000001,59.6,34,6.0,260.0,846.0,158.0,3.611,216.0,94
89,Kyle Stanley,25,76,16,1,0,471,1117604,288.9,69.1,141,67.5,1.787,49.6,32,11.0,259.0,883.0,190.0,3.408,124.0,95
90,Sam Burns,26,78,16,3,0,493,1117312,307.2,57.2,14,64.7,1.749,41.1,23,14.0,290.0,875.0,189.0,3.718,100.0,96
91,Pat Perez,21,62,13,3,0,376,1103241,286.1,65.3,164,65.3,1.756,50.0,44,7.0,234.0,697.0,158.0,3.7739999999999996,159.0,97
92,Bud Cauley,25,82,16,2,0,482,1090018,293.4,63.3,102,67.2,1.73,56.4,30,6.0,334.0,933.0,176.0,4.073,246.0,98
93,Scott Stallings,26,78,15,2,0,452,1080451,297.0,59.0,69,66.7,1.756,50.4,35,10.0,295.0,867.0,202.0,3.782,140.0,99
94,Chris Stroud,26,62,10,4,0,473,1075552,289.8,58.3,131,63.0,1.757,52.6,38,7.0,213.0,709.0,166.0,3.435,159.0,100
95,Carlos Ortiz,28,82,14,3,0,441,1073962,301.0,62.3,45,67.8,1.777,50.0,28,10.0,289.0,956.0,199.0,3.5239999999999996,148.0,101
96,Talor Gooch,17,54,10,2,0,474,1067089,297.4,58.7,65,70.0,1.765,62.5,28,5.0,214.0,613.0,123.0,3.963,194.0,102
97,Kyoung-Hoon Lee,30,84,16,2,0,453,1061457,286.2,66.0,163,67.7,1.775,51.8,28,5.0,313.0,939.0,228.0,3.7260000000000004,302.0,103
98,Sam Ryder,23,72,16,2,0,458,1060735,293.9,63.6,96,68.0,1.742,62.4,30,9.0,286.0,818.0,167.0,3.972,144.0,104
99,Aaron Wise,21,69,15,1,0,441,1052507,302.6,61.8,33,68.6,1.734,48.2,23,3.0,305.0,724.0,184.0,4.42,414.0,105
100,Cameron Tringale,21,65,16,2,0,459,1049106,296.9,60.5,70,69.7,1.744,54.7,32,2.0,269.0,736.0,147.0,4.138,585.0,106
